Frame: 2
 1.005406e+00 4.523958e-04 -8.222856e+00
 2.253975e-03 1.009418e+00 -2.656927e+02
 0 0 1
Frame: 3
 1.001619e+00 -1.431196e-02 -7.305371e+00
 6.921643e-03 1.005670e+00 2.624376e+02
 0 0 1
Frame: 4
 1.001563e+00 -1.519050e-02 -2.497107e+00
 8.108180e-03 1.002260e+00 -2.665578e+02
 0 0 1
Frame: 5
 1.001759e+00 -9.704834e-03 -7.564237e+00
 4.136096e-03 1.003553e+00 2.638415e+02
 0 0 1
Frame: 6
 1.000555e+00 -8.400728e-03 -5.051960e+00
 2.917192e-03 1.002343e+00 -2.643013e+02
 0 0 1
Frame: 7
 1.001027e+00 -8.419499e-03 -7.356910e+00
 2.147184e-03 1.003089e+00 2.647348e+02
 0 0 1
Frame: 8
 1.000105e+00 -6.603470e-03 -4.698798e+00
 3.766840e-04 1.001168e+00 -2.627004e+02
 0 0 1
Frame: 9
 1.001581e+00 -1.592802e-03 -7.131124e+00
 -2.357406e-03 1.002098e+00 2.669631e+02
 0 0 1
Frame: 10
 1.001893e+00 1.399156e-03 -8.416207e+00
 -3.355050e-03 1.003895e+00 -2.615573e+02
 0 0 1
Frame: 11
 1.001669e+00 -3.070904e-03 -6.399749e+00
 -2.031354e-03 1.003272e+00 2.667973e+02
 0 0 1
Frame: 12
 1.001372e+00 -2.407558e-03 -6.474932e+00
 -2.125304e-03 1.003595e+00 -2.619077e+02
 0 0 1
Frame: 13
 1.002154e+00 -3.208207e-03 -7.957712e+00
 -7.114862e-04 1.003580e+00 2.662907e+02
 0 0 1
Frame: 14
 1.001360e+00 -4.821075e-03 -6.573571e+00
 -1.406811e-03 1.003454e+00 -2.619923e+02
 0 0 1
Frame: 15
 1.001879e+00 -1.888922e-03 -8.881390e+00
 -2.063949e-04 1.002909e+00 2.660065e+02
 0 0 1
Frame: 16
 1.001224e+00 -4.695226e-03 -5.814564e+00
 -1.383507e-04 1.002875e+00 -2.629269e+02
 0 0 1
Frame: 17
 1.001577e+00 -7.599843e-03 -7.195092e+00
 1.655348e-03 1.003296e+00 2.653532e+02
 0 0 1
Frame: 18
 1.002110e+00 -6.928400e-03 -5.392493e+00
 2.187794e-03 1.003834e+00 -2.641356e+02
 0 0 1
Frame: 19
 1.001896e+00 -4.897498e-03 -8.147509e+00
 8.856351e-04 1.003419e+00 2.654046e+02
 0 0 1
Frame: 20
 1.001868e+00 -5.446864e-03 -6.764698e+00
 4.281260e-04 1.003181e+00 -2.632778e+02
 0 0 1
Frame: 21
 1.002359e+00 7.763634e-04 -8.254267e+00
 -1.769198e-03 1.004418e+00 2.666286e+02
 0 0 1
Frame: 22
 1.001129e+00 -3.370492e-03 -6.650547e+00
 -1.800552e-03 1.003091e+00 -2.620198e+02
 0 0 1
Frame: 23
 1.002401e+00 -3.970893e-03 -7.964681e+00
 2.576056e-04 1.003611e+00 2.659456e+02
 0 0 1
Frame: 24
 1.001331e+00 -4.880838e-03 -6.101988e+00
 4.299620e-04 1.004556e+00 -2.636808e+02
 0 0 1
Frame: 25
 1.002232e+00 -6.439259e-03 -8.112581e+00
 1.638101e-03 1.003554e+00 2.651208e+02
 0 0 1
Frame: 26
 1.002438e+00 -4.998867e-03 -5.972984e+00
 8.714064e-04 1.003709e+00 -2.632703e+02
 0 0 1
Frame: 27
 1.001973e+00 1.464354e-03 -8.531733e+00
 -3.064872e-03 1.003770e+00 2.676790e+02
 0 0 1
Frame: 28
 1.001409e+00 4.616023e-03 -9.092422e+00
 -6.301422e-03 1.003166e+00 -2.595288e+02
 0 0 1
Frame: 29
 1.001883e+00 -2.454567e-03 -7.804964e+00
 -3.097324e-03 1.003488e+00 2.676908e+02
 0 0 1
Frame: 30
 1.001913e+00 -2.809779e-03 -7.355473e+00
 -6.375283e-04 1.003487e+00 -2.623670e+02
 0 0 1
Frame: 31
 1.001601e+00 -5.531945e-04 -7.560814e+00
 -2.346348e-03 1.003816e+00 2.672589e+02
 0 0 1
Frame: 32
 1.001737e+00 -1.987335e-03 -6.494337e+00
 -1.394445e-03 1.002754e+00 -2.618158e+02
 0 0 1
Frame: 33
 1.001838e+00 -4.549139e-03 -7.630122e+00
 -1.191873e-03 1.003914e+00 2.664694e+02
 0 0 1
Frame: 34
 1.002085e+00 -8.896835e-04 -6.579095e+00
 -1.403089e-03 1.003576e+00 -2.621493e+02
 0 0 1
Frame: 35
 1.002108e+00 -3.304455e-03 -7.767567e+00
 1.063776e-03 1.003550e+00 2.654417e+02
 0 0 1
Frame: 36
 1.002143e+00 -7.731222e-03 -5.151791e+00
 1.289025e-04 1.004468e+00 -2.634894e+02
 0 0 1
Frame: 37
