Frame: 2
 1.000138e+00 -8.596035e-03 -4.586575e+00
 1.539664e-03 1.003091e+00 2.587712e-01
 0 0 1
Frame: 3
 1.000785e+00 -1.446338e-02 -3.384182e+00
 6.481711e-03 1.003658e+00 -2.247371e+00
 0 0 1
Frame: 4
 1.001584e+00 -1.649917e-02 -1.970971e+00
 8.157748e-03 1.003194e+00 -2.972645e+00
 0 0 1
Frame: 5
 1.001567e+00 -1.150536e-02 -4.388929e+00
 4.516184e-03 1.002600e+00 -1.089941e+00
 0 0 1
Frame: 6
 1.000251e+00 -1.044930e-02 -4.266232e+00
 2.783221e-03 1.001856e+00 -4.187513e-01
 0 0 1
Frame: 7
 1.000369e+00 -9.164726e-03 -4.821828e+00
 2.179060e-03 1.001884e+00 1.271260e-01
 0 0 1
Frame: 8
 1.000895e+00 -7.286134e-03 -4.477738e+00
 4.357404e-04 1.002719e+00 5.663003e-01
 0 0 1
Frame: 9
 1.000967e+00 -3.613380e-03 -5.836336e+00
 -2.226418e-03 1.001934e+00 2.140087e+00
 0 0 1
Frame: 10
 1.001526e+00 -3.990308e-04 -7.783099e+00
 -3.156069e-03 1.003082e+00 2.457085e+00
 0 0 1
Frame: 11
 1.000526e+00 -3.588111e-03 -5.276097e+00
 -2.278949e-03 1.001785e+00 2.271979e+00
 0 0 1
Frame: 12
 1.001132e+00 -3.331487e-03 -6.128603e+00
 -2.195081e-03 1.003138e+00 2.157315e+00
 0 0 1
Frame: 13
 1.001297e+00 -5.252389e-03 -6.179850e+00
 -6.873704e-04 1.002755e+00 1.367910e+00
 0 0 1
Frame: 14
 1.001012e+00 -3.464732e-03 -7.047309e+00
 -1.776462e-03 1.003349e+00 2.071586e+00
 0 0 1
Frame: 15
 1.001376e+00 -6.229830e-03 -6.648471e+00
 -1.540738e-04 1.001816e+00 1.430777e+00
 0 0 1
Frame: 16
 1.000726e+00 -3.831895e-03 -6.126948e+00
 -4.619793e-04 1.002192e+00 1.272219e+00
 0 0 1
Frame: 17
 1.001503e+00 -8.467766e-03 -4.896159e+00
 1.869192e-03 1.003811e+00 6.445575e-02
 0 0 1
Frame: 18
 1.001436e+00 -8.409717e-03 -4.705874e+00
 2.098044e-03 1.003317e+00 -3.337583e-02
 0 0 1
Frame: 19
 1.001466e+00 -7.396203e-03 -5.905808e+00
 1.055970e-03 1.002583e+00 4.904264e-01
 0 0 1
Frame: 20
 1.001312e+00 -7.752971e-03 -5.766664e+00
 4.263183e-04 1.002620e+00 7.023965e-01
 0 0 1
Frame: 21
 1.001752e+00 -3.204256e-03 -6.896947e+00
 -1.548849e-03 1.002657e+00 1.819804e+00
 0 0 1
Frame: 22
 1.000768e+00 -2.754216e-03 -6.823265e+00
 -2.061694e-03 1.002559e+00 2.056071e+00
 0 0 1
Frame: 23
 1.001768e+00 -6.944565e-03 -5.651638e+00
 4.134006e-04 1.003073e+00 8.736332e-01
 0 0 1
Frame: 24
 1.000581e+00 -5.265373e-03 -5.855437e+00
 -1.058836e-04 1.003264e+00 8.392902e-01
 0 0 1
Frame: 25
 1.001725e+00 -8.169379e-03 -5.603840e+00
 1.696993e-03 1.002895e+00 2.791582e-01
 0 0 1
Frame: 26
 1.001949e+00 -5.278628e-03 -5.880262e+00
 1.027183e-03 1.003428e+00 6.884514e-01
 0 0 1
Frame: 27
 1.002122e+00 -4.664229e-03 -6.633644e+00
 -2.397945e-03 1.003125e+00 2.466013e+00
 0 0 1
Frame: 28
 1.000492e+00 4.486837e-03 -8.937368e+00
 -6.736248e-03 1.002106e+00 4.705806e+00
 0 0 1
Frame: 29
 1.001286e+00 -2.523418e-03 -7.062602e+00
 -3.255815e-03 1.003048e+00 2.859737e+00
 0 0 1
Frame: 30
 1.001397e+00 -3.832881e-03 -6.870292e+00
 -6.276555e-04 1.003253e+00 1.547777e+00
 0 0 1
Frame: 31
 1.000972e+00 -3.857372e-03 -5.991804e+00
 -2.176871e-03 1.002373e+00 2.518550e+00
 0 0 1
Frame: 32
 1.001167e+00 -2.692923e-03 -6.098414e+00
 -1.542727e-03 1.003209e+00 1.924407e+00
 0 0 1
Frame: 33
 1.001081e+00 -5.664678e-03 -5.990912e+00
 -1.379240e-03 1.002829e+00 1.645172e+00
 0 0 1
Frame: 34
 1.001038e+00 -2.844573e-03 -5.652003e+00
 -1.502433e-03 1.002817e+00 1.913365e+00
 0 0 1
Frame: 35
 1.001263e+00 -5.978868e-03 -5.711216e+00
 7.856916e-04 1.002859e+00 7.246229e-01
 0 0 1
Frame: 36
 1.001707e+00 -7.473362e-03 -5.289770e+00
 3.572085e-04 1.003122e+00 7.330445e-01
 0 0 1
Frame: 37
 1.001637e+00 -2.886102e-03 -6.870422e+00
